Tarama Tarihi,Fon Kodu,Fon Adı,Son Fiyat
2025-07-24,ENJ,AKTİF PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,
2025-07-24,ESP,AURA PORTFÖY EMTİA SERBEST FON,
2025-07-24,EUN,GARANTİ PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,
2025-07-24,EUZ,GARANTİ PORTFÖY SERBEST (DÖVİZ-AVRO) FON,
2025-07-24,EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,
2025-07-24,FBC,FONERİA PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU,
2025-07-24,FBI,FİBA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,
2025-07-24,FBV,İŞ PORTFÖY MODEL SERBEST FON,
2025-07-24,FBZ,FİBA PORTFÖY TEKNOLOJİ SERBEST FON,
2025-07-24,FCK,FONERİA PORTFÖY ÇOKLU VARLIK KATILIM FONU,
2025-07-24,FD1,FONERİA PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,FDG,FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,FFH,QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU,
2025-07-24,FFP,QNB PORTFÖY FON SEPETİ FONU,
2025-07-24,FI3,QNB PORTFÖY BORÇLANMA ARAÇLARI FONU,
2025-07-24,FIB,FİBA PORTFÖY ALTIN FONU,
2025-07-24,FID,FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,
2025-07-24,FIL,FİBA PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,FIT,FİBA PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,
2025-07-24,FJZ,FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON,
2025-07-24,FKE,QNB PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON,
2025-07-24,FLS,YAPI KREDİ PORTFÖY FLORYA SERBEST (DÖVİZ-AVRO) FON,
2025-07-24,FLY,AKTİF PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,
2025-07-24,FNO,QNB PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,FNT,HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,FPE,FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ)FONU,
2025-07-24,FPG,FİBA PORTFÖY GÜMÜŞ SERBEST FON,
2025-07-24,FPH,FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,FPI,FONMAP PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,
2025-07-24,FPK,FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,FPZ,QNB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,
2025-07-24,FRC,FONMAP PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,FS5,FONERİA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),
2025-07-24,FS6,FONERİA PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,
2025-07-24,FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,
2025-07-24,FSG,FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,FSH,FİBA PORTFÖY FON SEPETİ SERBEST FON,
2025-07-24,FSK,QNB PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,
2025-07-24,FSR,FİBA PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,
2025-07-24,FTL,FONERİA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,
2025-07-24,FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,FUB,QNB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,
2025-07-24,FYD,QNB PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,FYI,AZİMUT PORTFÖY 4.0 SERBEST FON,
2025-07-24,FYO,QNB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,
2025-07-24,FZJ,FİBA PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,FZP,FİBA PORTFÖY SERBEST FON,
2025-07-24,GA1,GARANTİ PORTFÖY  BORÇLANMA ARAÇLARI FONU,
2025-07-24,GAE,GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GAF,INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GAG,INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON,
2025-07-24,GAH,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,
2025-07-24,GAS,GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON,
2025-07-24,GBC,AZİMUT PYŞ YABANCI BYF FON SEPETİ FONU,
2025-07-24,GBG,INVEO PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU,
2025-07-24,GBH,GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GBJ,GARANTİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GBL,AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,
2025-07-24,GBN,GARANTİ PORTFÖY BEŞİNCİ SERBEST (TL) FON,
2025-07-24,GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,
2025-07-24,GGK,INVEO PORTFÖY  ALTIN FON,
2025-07-24,GHS,GARANTİ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GID,GARANTİ PORTFÖY İNŞAAT SEKTÖRÜ DEĞİŞKEN FON,
2025-07-24,GIE,GARANTİ PORTFÖY GARANTİ BBVA İKLİM ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GIH,ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GJB,INVEO PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,GKF,GLOBAL MD PORTFÖY KATILIM FONU,
2025-07-24,GKG,GARANTİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GKH,GARANTİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,
2025-07-24,GKV,GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GL1,AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GLC,AKTİF PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,
2025-07-24,GLG,AKTİF PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,
2025-07-24,GMA,AZİMUT PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,
2025-07-24,GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,
2025-07-24,GMD,GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,GMR,INVEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GNH,GLOBAL MD PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GNS,GARANTİ PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GO1,FONERİA PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,GO2,FONERİA PORTFÖY KATILIM FON SEPETİ FONU,
2025-07-24,GO3,FONERİA PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,
2025-07-24,GO4,FONERİA PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,
2025-07-24,GO6,FONERİA PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,GO9,FONERİA PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GOH,GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,
2025-07-24,GPA,GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,
2025-07-24,GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,GPC,GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON,
2025-07-24,GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,
2025-07-24,GPG,INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,
